payer_name,payer_alias,state_or_region,line_of_business,document_title,document_type,document_url,source_page_url,discovery_path,file_type,policy_number,effective_date,last_updated_date,http_status,content_hash_sha256,file_size_bytes,requires_auth,render_mode,extraction_method,confidence_score,scrape_timestamp_utc,notes
UnitedHealthcare,UHC,PA,Commercial,"UnitedHealthcare of the River Valley Prior Authorization Requirements - Effective July 1, 2026",bulletin,https://www.uhcprovider.com/content/dam/provider/docs/public/prior-auth/pa-requirements/river-valley/UHC-River-Valley-Prior-Authorization-Effective-7-2026.pdf,https://www.uhcprovider.com/en/prior-auth-advance-notification/adv-notification-plan-reqs.html,seed:uhcprovider.com > robots.txt > seed_path:/en/prior-auth-advance-notification.html > redirect:www.uhcprovider.com > index:/en/prior-auth-advance-notification.html > anchor[text~='Advance notification and prior author...'] > redirect:www.uhcprovider.com > index:/en/prior-auth-advance-notification/adv-notification-plan... > anchor[href$='.pdf'],pdf,,2026-07-01,,200,f9c464c14ffd1bb550c1db1928bbc404a397cf8efa08c19126002adfbc8903c6,623458,N,static,css_selector|pdf_text|regex,0.86,2026-09-07T06:13:27Z,collapsed 8 near-duplicate URL(s) under the 'title' rule (e.g. https://www.uhcprovider.com/content/dam/provider/docs/public/prior-auth/pa-requirements/river-valley/UHC-River-Valley-Prior-Authorization-Effective-4-2026.pdf)
UnitedHealthcare,UHC,PA,Commercial,"Prior authorization requirements for Surest health plans - Effective July 1, 2026 - Surest Health Plans",bulletin,https://www.uhcprovider.com/content/dam/provider/docs/public/prior-auth/pa-requirements/surest/Surest-Prior-Auth-7-2026.pdf,https://www.uhcprovider.com/en/prior-auth-advance-notification/adv-notification-plan-reqs.html,seed:uhcprovider.com > robots.txt > seed_path:/en/prior-auth-advance-notification.html > redirect:www.uhcprovider.com > index:/en/prior-auth-advance-notification.html > anchor[text~='Advance notification and prior author...'] > redirect:www.uhcprovider.com > index:/en/prior-auth-advance-notification/adv-notification-plan... > anchor[href$='.pdf'],pdf,,2026-07-01,,200,d7e95ee5c3274c6c8c64c11fe4f2f29d2df21268a87d341df9406bb67de2e3b6,598727,N,static,css_selector|pdf_text|regex,0.86,2026-09-07T06:13:46Z,collapsed 13 near-duplicate URL(s) under the 'title' rule (e.g. https://www.uhcprovider.com/content/dam/provider/docs/public/prior-auth/pa-requirements/surest/Surest-Prior-Auth-4-2026.pdf)
UnitedHealthcare,UHC,PA,Commercial,"Effective Apr. 1, 2025",bulletin,https://www.uhcprovider.com/content/dam/provider/docs/public/prior-auth/pa-requirements/surest/Surest-Prior-Auth-4-1-2025.pdf,https://www.uhcprovider.com/en/prior-auth-advance-notification/adv-notification-plan-reqs.html,seed:uhcprovider.com > robots.txt > seed_path:/en/prior-auth-advance-notification.html > redirect:www.uhcprovider.com > index:/en/prior-auth-advance-notification.html > anchor[text~='Advance notification and prior author...'] > redirect:www.uhcprovider.com > index:/en/prior-auth-advance-notification/adv-notification-plan... > anchor[href$='.pdf'],pdf,,2025-04-01,,200,844aa3c4f355e90eb546924483540ed00616e450a5aa2ee38d40e14f7c49b958,494271,N,static,css_selector|pdf_text|regex,0.86,2026-09-07T06:13:58Z,
UnitedHealthcare,UHC,PA,Commercial,"Oxford Health Plans Advance Notification/Prior Authorization Requirements - Effective July 1, 2026",bulletin,https://www.uhcprovider.com/content/dam/provider/docs/public/prior-auth/pa-requirements/oxford/Oxford-Prior-Auth-7-1-2026.pdf,https://www.uhcprovider.com/en/prior-auth-advance-notification/adv-notification-plan-reqs.html,seed:uhcprovider.com > robots.txt > seed_path:/en/prior-auth-advance-notification.html > redirect:www.uhcprovider.com > index:/en/prior-auth-advance-notification.html > anchor[text~='Advance notification and prior author...'] > redirect:www.uhcprovider.com > index:/en/prior-auth-advance-notification/adv-notification-plan... > anchor[href$='.pdf'],pdf,,2026-07-01,,200,530eda586ba04f33dfea2a320d063dd07d5c7d0582d008e9e35bc36721a6dfde,773336,N,static,css_selector|pdf_text|regex,0.94,2026-09-07T06:14:03Z,collapsed 8 near-duplicate URL(s) under the 'title' rule (e.g. https://www.uhcprovider.com/content/dam/provider/docs/public/prior-auth/pa-requirements/oxford/Oxford-Prior-Auth-4-1-2026.pdf)
UnitedHealthcare,UHC,PA,Commercial,"Effective Apr. 1, 2025",provider_manual,https://www.uhcprovider.com/content/dam/provider/docs/public/prior-auth/pa-requirements/oxford/Oxford-Prior-Auth-4-1-2025.pdf,https://www.uhcprovider.com/en/prior-auth-advance-notification/adv-notification-plan-reqs.html,seed:uhcprovider.com > robots.txt > seed_path:/en/prior-auth-advance-notification.html > redirect:www.uhcprovider.com > index:/en/prior-auth-advance-notification.html > anchor[text~='Advance notification and prior author...'] > redirect:www.uhcprovider.com > index:/en/prior-auth-advance-notification/adv-notification-plan... > anchor[href$='.pdf'],pdf,,,,200,b33155505d4d667e9a0677d7d7885ad837f2b0321855b94591de3901c0104642,793711,N,static,css_selector|pdf_text,0.78,2026-09-07T06:14:15Z,
UnitedHealthcare,UHC,PA,Commercial,"Effective Mar. 1, 2025",provider_manual,https://www.uhcprovider.com/content/dam/provider/docs/public/prior-auth/pa-requirements/oxford/Oxford-Prior-Auth-3-1-2025.pdf,https://www.uhcprovider.com/en/prior-auth-advance-notification/adv-notification-plan-reqs.html,seed:uhcprovider.com > robots.txt > seed_path:/en/prior-auth-advance-notification.html > redirect:www.uhcprovider.com > index:/en/prior-auth-advance-notification.html > anchor[text~='Advance notification and prior author...'] > redirect:www.uhcprovider.com > index:/en/prior-auth-advance-notification/adv-notification-plan... > anchor[href$='.pdf'],pdf,,,,200,e2033caa1306607744942c1257369a25c7f435043494dd566cc0a2d409d93fca,792919,N,static,css_selector|pdf_text,0.78,2026-09-07T06:14:17Z,
UnitedHealthcare,UHC,PA,Commercial,"Neighborhood Health Partnership Advance Notification/Prior Authorization Requirements - Effective July 1, 2026",bulletin,https://www.uhcprovider.com/content/dam/provider/docs/public/prior-auth/pa-requirements/nhp/UHC-NHP-Advance-Notification-Guide-Effective-7-2026.pdf,https://www.uhcprovider.com/en/prior-auth-advance-notification/adv-notification-plan-reqs.html,seed:uhcprovider.com > robots.txt > seed_path:/en/prior-auth-advance-notification.html > redirect:www.uhcprovider.com > index:/en/prior-auth-advance-notification.html > anchor[text~='Advance notification and prior author...'] > redirect:www.uhcprovider.com > index:/en/prior-auth-advance-notification/adv-notification-plan... > anchor[href$='.pdf'],pdf,,2026-07-01,,200,9b92867a1a087372eeea2cb95af327ad6b4098f7de76391002d893bcf3a474c2,735633,N,static,css_selector|pdf_text|regex,0.94,2026-09-07T06:14:24Z,collapsed 8 near-duplicate URL(s) under the 'title' rule (e.g. https://www.uhcprovider.com/content/dam/provider/docs/public/prior-auth/pa-requirements/nhp/UHC-NHP-Advance-Notification-Guide-Effective-4-2026.pdf)
UnitedHealthcare,UHC,PA,Medicare,"UnitedHealthcare Medicare Advantage Prior Authorization Requirements - Effective Apr. 1, 2026",provider_manual,https://www.uhcprovider.com/content/dam/provider/docs/public/prior-auth/pa-requirements/medicare/Med-Adv-Dual-Eff-4-1-26.pdf,https://www.uhcprovider.com/en/prior-auth-advance-notification/adv-notification-plan-reqs.html,seed:uhcprovider.com > robots.txt > seed_path:/en/prior-auth-advance-notification.html > redirect:www.uhcprovider.com > index:/en/prior-auth-advance-notification.html > anchor[text~='Advance notification and prior author...'] > redirect:www.uhcprovider.com > index:/en/prior-auth-advance-notification/adv-notification-plan... > anchor[href$='.pdf'],pdf,,2026-04-01,,200,53ee9b4c0ad4cf7e31050bf9dcdde82cea099c24f96aeed7f52e2a4c72661a18,816502,N,static,css_selector|pdf_text|regex,0.86,2026-09-07T06:14:57Z,collapsed 6 near-duplicate URL(s) under the 'title' rule (e.g. https://www.uhcprovider.com/content/dam/provider/docs/public/prior-auth/pa-requirements/medicare/Med-Adv-Dual-Eff-3-1-26.pdf)
UnitedHealthcare,UHC,FL|PA,Multiple,"UnitedHealthcare Community Plan Prior Authorization Requirements Florida - Effective July 1, 2026",provider_manual,https://www.uhcprovider.com/content/dam/provider/docs/public/prior-auth/pa-requirements/pcn/UHC-Preferred-Care-Florida-Medicare-Eff-7-1-26.pdf,https://www.uhcprovider.com/en/prior-auth-advance-notification/adv-notification-plan-reqs.html,seed:uhcprovider.com > robots.txt > seed_path:/en/prior-auth-advance-notification.html > redirect:www.uhcprovider.com > index:/en/prior-auth-advance-notification.html > anchor[text~='Advance notification and prior author...'] > redirect:www.uhcprovider.com > index:/en/prior-auth-advance-notification/adv-notification-plan... > anchor[href$='.pdf'],pdf,,2026-07-01,,200,bc9440b0846a9d54dfbab7b993e3f3bf2d1a410d8bc385ee0874f5bba9b55745,610446,N,static,css_selector|pdf_text|regex,0.86,2026-09-07T06:15:15Z,collapsed 5 near-duplicate URL(s) under the 'title' rule (e.g. https://www.uhcprovider.com/content/dam/provider/docs/public/prior-auth/pa-requirements/pcn/UHC-Preferred-Care-Florida-Medicare-Eff-6-1-26.pdf)
UnitedHealthcare,UHC,FL|PA,Medicare,"Preferred Care Network and Preferred Care Partners of Florida Prior Authorization Requirements - Effective February 1, 2025",provider_manual,https://www.uhcprovider.com/content/dam/provider/docs/public/prior-auth/pa-requirements/pcn/UHC-Preferred-Care-Florida-Medicare-Effective-2-1-2025.pdf,https://www.uhcprovider.com/en/prior-auth-advance-notification/adv-notification-plan-reqs.html,seed:uhcprovider.com > robots.txt > seed_path:/en/prior-auth-advance-notification.html > redirect:www.uhcprovider.com > index:/en/prior-auth-advance-notification.html > anchor[text~='Advance notification and prior author...'] > redirect:www.uhcprovider.com > index:/en/prior-auth-advance-notification/adv-notification-plan... > anchor[href$='.pdf'],pdf,,2025-02-01,,200,7e31e4fd48a5a0ffa1fd753a4f9c4dc3bd6ba7cc8aa484e399bb531f927c719f,494058,N,static,css_selector|pdf_text|regex,0.86,2026-09-07T06:15:33Z,collapsed 4 near-duplicate URL(s) under the 'title' rule (e.g. https://www.uhcprovider.com/content/dam/provider/docs/public/prior-auth/pa-requirements/pcn/UHC-Preferred-Care-Florida-Medicare-Effective-1-1-2025.pdf)
